AM903082.gene5.p01	APH(3')-IIIa	ARO:3002647
NC_008702.1.4610085.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_010558.1.6276071.p01	tetR	ARO:3003479
AE000516.2.gene131.p01	elongation factor G	ARO:3000730
NC_011035.1.6448547.p01	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ARO:3000743
CP001138.1.gene3614.p01	elongation factor G	ARO:3000730
NC_010558.1.6276004.p01	catI	ARO:3002683
NC_010558.1.6276004.p01	cat	ARO:3002670
AE000516.2.gene2130.p01	Erm(37)	ARO:3000392
NC_011035.1.6447337.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_008702.1.4609521.p01	phosphonopyruvate decarboxylase	ARO:3000299
NC_008702.1.4609796.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_010410.6002907.p01	adeR	ARO:3000553
NC_010558.1.6275958.p01	rmtB	ARO:3000860
NC_008702.1.4609994.p01	phosphonopyruvate decarboxylase	ARO:3000299
CP001138.1.gene3329.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_010558.1.6276043.p01	TEM-1	ARO:3000873
AE000516.2.gene3696.p01	cycloserine sensitive alanine racemase	ARO:3000722
AE000516.2.gene1162.p01	elongation factor G	ARO:3000730
NC_011035.1.6448061.p01	elongation factor G	ARO:3000730
CP001138.1.gene4362.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
AE000516.2.gene1364.p01	Mycobacterium tuberculosis embR mutant conferring resistance to ethambutol	ARO:3003455
AE000516.2.gene362.p01	Mycobacterium tuberculosis iniA mutant conferring resistance to Ethambutol	ARO:3003448
AE000516.2.gene2195.p01	Mycobacterium tuberculosis pncA mutations conferring resistance to pyrazinamide	ARO:3003394
NC_008702.1.4606680.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_008702.1.4608229.p01	elongation factor G	ARO:3000730
AE000516.2.gene1985.p01	Mycobacterium tuberculosis ndh mutant conferring resistance to isoniazid	ARO:3003461
NC_008702.1.4606724.p01	rho transcription terminator factor	ARO:3000736
NC_008702.1.4610011.p01	fosfomycin sensitive pyruvyl transferase (murA)	ARO:3000724
NC_008702.1.4609137.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_008702.1.4608591.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_008702.1.4606711.p01	elongation factor G	ARO:3000730
NC_011035.1.6448018.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_002516.2.877990.p01	OXA-50	ARO:3001796
AE000516.2.gene2043.p01	Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid	ARO:3003392
AE000516.2.gene1808.p01	Mycobacterium tuberculosis tlyA mutations conferring resistance to aminoglycosides	ARO:3003445
NC_011586.7045445.p01	adeK	ARO:3000782
CP001138.1.gene255.p01	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ARO:3000743
NC_008702.1.4608638.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
AE000516.2.gene1599.p01	Mycobacterium tuberculosis inhA mutations conferring resistance to isoniazid	ARO:3003393
NC_011595.7058153.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_011595.7059564.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
CP001138.1.gene3460.p01	elongation factor G	ARO:3000730
NC_012469.1.7685715.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
AE000516.2.gene4100.p01	Mycobacterium tuberculosis embA mutant conferring resistance to ethambutol	ARO:3003453
NC_011595.7059713.p01	adeK	ARO:3000782
NC_011595.7060563.p01	elongation factor G	ARO:3000730
NC_011595.7058445.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_011595.7058445.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_011595.7058471.p01	antibiotic sensitive signal peptidase I	ARO:3000717
NC_011595.7058425.p01	phosphonopyruvate decarboxylase	ARO:3000299
NC_011595.7060269.p01	adeH	ARO:3000779
NC_011035.1.6448760.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
AE000516.2.gene3079.p01	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ARO:3000743
AE000516.2.gene2972.p01	antibiotic sensitive dihydrofolate reductase	ARO:3000745
NC_011595.7059787.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
NC_008702.1.4609815.p01	rifamycin sensitive beta-subunit of RNA polymerase (rpoB)	ARO:3000737
NC_011595.7059912.p01	mexT	ARO:3000814
NC_011035.1.6447976.p01	fluoroquinolone sensitive parC	ARO:3000735
NC_012469.1.7686678.p01	cycloserine sensitive D-alanine synthetase	ARO:3000723
CP001138.1.gene381.p01	golS	ARO:3000504
NC_002516.2.878374.p01	catB7	ARO:3002679
NC_002516.2.881071.p01	mexD	ARO:3000801
NC_002516.2.880449.p01	mexG	ARO:3000806
NC_012469.1.7686721.p01	fluoroquinolone sensitive gyrA	ARO:3000733
NC_002516.2.880464.p01	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ARO:3000743
S71932.1.gene1.p01	IMP-1	ARO:3002192
U37195.1.gene1.p1	TEM-28	ARO:3000898
U63835.1.gene1.p01	OXA-15	ARO:3001410
U85514.1.gene1.p01	OXA-18	ARO:3001413
S46063.1.gene1.p2	CARB-3	ARO:3002242
U59183.1.gene3.p01	OXA-13	ARO:3001408
U20270.1.gene1.p01	SHV-7	ARO:3001066
U58495.2.gene1.p2	ACT-1	ARO:3001821
U10251.1.gene1.p01	OXA-12	ARO:3001407
U59183.1.gene2.p01	AAC(6')-Ib10	ARO:3002581
U37105.2.gene2.p01	OXA-10	ARO:3001405
U92041.1.gene1.p01	SHV-8	ARO:3001067
U95364.1.gene1.p01	CTX-M-5	ARO:3001868
X55640.1.gene1.p01	SHV-5	ARO:3001064
U95363.2.gene1.p01	TEM-43	ARO:3000912
X07260.1.gene1.p01	OXA-2	ARO:3001397
X54606.1.gene1.p01	TEM-2	ARO:3000874
X58272.1.gene1.p01	OXA-5	ARO:3001400
X65252.1.gene1.p01	TEM-8	ARO:3000880
X75562.1.gene1.p01	OXA-7	ARO:3001402
X97254.1.gene1.p01	TEM-178	ARO:3001043
X65253.1.gene1.p01	TEM-24	ARO:3000894
X65254.1.gene1.p01	TEM-16	ARO:3000887
X92507.1.gene1.p01	CTX-M-2	ARO:3001865
X92508.1.gene1.p01	CMY-1	ARO:3002012
X57972.1.gene1.p1	TEM-6	ARO:3000878
X77455.1.gene1.p01	FOX-1	ARO:3002155
X64523.1.gene1.p01	TEM-3	ARO:3000875
X98102.1.gene1.p01	SHV-2A	ARO:3001061
Y10279.1.gene1.p01	TEM-47	ARO:3000916
Y10280.1.gene1.p01	TEM-48	ARO:3000917
X78117.1.gene1.p01	LAT-1	ARO:3001857
Y10278.1.gene1.p01	CTX-M-3	ARO:3001866
Y10693.2.gene1.p2	OXA-21	ARO:3001416
Y11068.1.gene1.p01	FOX-3	ARO:3002157
U37105.2.gene6.p01	sul1	ARO:3000410
Y10281.1.gene1.p01	TEM-49	ARO:3000918
NC_012469.1.7686068.p01	fluoroquinolone sensitive parC	ARO:3000735
Y15130.1.gene1.p01	CMY-4	ARO:3002015
Y16410.1.gene2.p01	DHA-1	ARO:3002132
Y16783.1.gene1.p01	CMY-4	ARO:3002015
Y13612.1.gene1.p01	TEM-52	ARO:3000921
Y16785.1.gene1.p01	CMY-12	ARO:3002023
Y17581.1.gene1.p01	TEM-20	ARO:3000891
Y17582.1.gene1.p01	TEM-21	ARO:3000892
U37105.2.gene3.p01	ANT(2'')-Ia	ARO:3000230
Y14574.2.gene1.p01	TEM-17	ARO:3000888
Y14156.1.gene1.p01	CTX-M-4	ARO:3001867
Y17583.1.gene1.p01	TEM-22	ARO:3000893
Z22590.1.gene1.p01	OXA-11	ARO:3001406
NC_012469.1.7685367.p01	elongation factor G	ARO:3000730
GQ465831.1.gene2.p01	Escherichia coli ompF mutants	ARO:3003390
X03615.1.gene1.p1	APH(7'')-Ia	ARO:3002661
Y17584.1.gene1.p01	TEM-29	ARO:3000899
DQ464881.1.gene5.p01	APH(6)-Id	ARO:3002660
AB049569.1.gene1.p01	TEM-91	ARO:3000958
AB107899.1.gene2.p01	CFE-1	ARO:3001856
AB284167.2.gene1.p01	CTX-M-64	ARO:3001925
AB074433.1.gene1.p01	IMP-10	ARO:3002201
AB204557.1.gene1.p01	IMP-21	ARO:3002212
AB280919.1.gene1.p01	CMY-37	ARO:3002048
DQ464881.1.gene2.p01	antibiotic sensitive dihydropteroate synthase	ARO:3000744
AB010417.1.gene1.p01	IMP-3	ARO:3002194
AB040994.1.gene1.p1	IMP-6	ARO:3002197
AB177384.1.gene1.p01	CTX-M-36	ARO:3001898
AB196988.1.gene1.p01	IMP-20	ARO:3002211
AB074436.1.gene1.p01	IMP-11	ARO:3002202
AB205197.1.gene1.p01	CTX-M-63	ARO:3001924
JN104597.1.gene1.p01	NDM-5	ARO:3000467
AB023477.1.gene1.p01	SHV-24	ARO:3001082
AB194410.1.gene1.p01	CMY-19	ARO:3002030
AB061794.1.gene2.p01	AAC(6')-Ia	ARO:3002545
AF099139.1.gene1.p01	IND-1	ARO:3002256
AB300358.1.gene1.p01	CMY-26	ARO:3002037
AB429270.1.gene1.p01	CMY-41	ARO:3002052
AF104441.1.gene1.p01	TEM-53	ARO:3000922
AF135373.1.gene1.p01	CARB-5	ARO:3002244
AF148850.1.gene1.p01	SHV-1	ARO:3001059
AB529520.1.gene1.p01	IND-7	ARO:3002263
AF024602.1.gene3.p01	OXA-20	ARO:3001415
AF030945.1.gene1.p01	CARB-6	ARO:3002245
AF091113.2.gene1.p01	TEM-67	ARO:3000934
AF093512.1.gene1.p01	TEM-10	ARO:3000882
AF148851.1.gene1.p01	SHV-2	ARO:3001060
AF157553.1.gene1.p1	TEM-72	ARO:3000938
AB372224.1.gene1.p01	CMY-39	ARO:3002050
AB587082.1.gene1.p01	CMY-59	ARO:3002069
AB634250.1.gene1.p01	OXA-206	ARO:3001484
AF010416.1.gene1.p01	VEB-1	ARO:3002370
AF104442.1.gene1.p01	TEM-54	ARO:3000923
AF167990.3.gene1.p01	CMY-8	ARO:3002019
AF180958.1.gene1.p01	ACC-3	ARO:3001817
AF188199.1.gene1.p01	TEM-70	ARO:3000936
AF203816.1.gene1.p01	TEM-71	ARO:3000937
AF219127.1.gene1.p1	IND-2	ARO:3002257
AF219130.1.gene1.p1	IND-2a	ARO:3002258
DQ464881.1.gene4.p01	APH(3'')-Ib	ARO:3002639
AF190692.1.gene1.p01	TEM-79	ARO:3000946
AF190693.1.gene1.p01	TEM-78	ARO:3000944
AF201826.1.gene1.p01	OXA-25	ARO:3001420
AF190694.1.gene1.p01	TEM-76	ARO:3000942
AF174129.3.gene6.p01	sul1	ARO:3000410
AF190695.1.gene1.p01	TEM-77	ARO:3000943
AF190695.1.gene1.p01	TEM-73	ARO:3000939
AF201827.1.gene1.p01	OXA-26	ARO:3001421
AF180952.1.gene3.p01	ACC-2	ARO:3001816
AF208529.2.gene1.p2	GES-7	ARO:3002336
AF189721.1.gene1.p01	CTX-M-8	ARO:3001871
AF231133.1.gene2.p01	AAC(6')-Ib4	ARO:3002577
AF255921.1.gene2.p01	OXA-1	ARO:3001396
AF290912.1.gene1.p01	IMP-5	ARO:3002196
AF300454.1.gene1.p01	VIM-3	ARO:3002273
AF300985.1.gene1.p01	OXA-36	ARO:3001430
AF191564.1.gene5.p01	antibiotic sensitive dihydropteroate synthase	ARO:3000744
AF219131.2.gene1.p2	IND-3	ARO:3002259
AF219135.2.gene1.p2	IND-4	ARO:3002260
AF244145.1.gene1.p01	IMP-4	ARO:3002195
AF255298.1.gene1.p1	CTX-M-10	ARO:3001873
AF259520.1.gene4.p01	DHA-2	ARO:3002133
AB061794.1.gene5.p01	sul1	ARO:3000410
AY198120.1.gene1.p01	antibiotic sensitive arabinosyltransferase	ARO:3000725
AF250872.1.gene1.p1	TEM-87	ARO:3000954
AF252623.2.gene1.p01	CTX-M-13	ARO:3001876
AF252622.2.gene2.p01	CTX-M-14	ARO:3001877
AF024602.1.gene6.p01	APH(6)-Id	ARO:3002660
AF313471.1.gene7.p01	sul1	ARO:3000410
NC_002516.2.882800.p01	fluoroquinolone sensitive gyrA	ARO:3000733
AF174129.3.gene9.p01	CTX-M-9	ARO:3001872
AF191564.1.gene2.p01	VIM-2	ARO:3002272
AF024602.1.gene5.p01	APH(3'')-Ib	ARO:3002639
AF294653.1.gene2.p01	OXA-31	ARO:3001425
U14748.1.gene2.p01	AER-1	ARO:3002481
AB061794.1.gene7.p01	CMY-9	ARO:3002020
AF231133.1.gene3.p01	OXA-28	ARO:3001423
AF294653.1.gene4.p01	cmlA6	ARO:3002696
Y17896.1.gene1.p01	FEZ-1 beta-lactamase	ARO:3000606
AF335467.1.gene1.p01	Enterobacter aerogenes omp36 mutants	ARO:3003385
U75641.1.gene1.p01	Neisseria gonorrhoeae mutant porin PIB (por) with reduced permeability to antibiotic	ARO:3000464
Y18050.2.gene3.p01	VIM-1	ARO:3002271
U50278.1.gene2.p01	IMI-1	ARO:3001858
M63556.1.gene1.p01	CcrA beta-lactamase	ARO:3000578
AF313471.1.gene2.p01	CARB-1	ARO:3002240
AF313471.1.gene3.p01	aadA	ARO:3002601
AF174129.3.gene2.p01	dfrA16	ARO:3003014
AF315351.1.gene3.p01	AAC(6')-Ib'	ARO:3002548
AF318077.1.gene1.p01	AAC(6')-Ib3	ARO:3002576
AF347054.1.gene1.p1	TEM-80	ARO:3000947
AF351241.1.gene1.p01	TEM-90	ARO:3000957
AF325133.1.gene1.p1	CTX-M-14	ARO:3001877
AF325134.1.gene1.p1	CTX-M-19	ARO:3001881
AF326355.1.gene1.p01	GES-2	ARO:3002331
AF332513.1.gene1.p01	TEM-63	ARO:3000931
AF350424.1.gene1.p01	OXA-34	ARO:3001428
AF357599.1.gene1.p01	CMY-11	ARO:3002022
AF322577.2.gene4.p01	catB3	ARO:3002676
AF329699.1.gene1.p01	GES-8	ARO:3002337
AF317511.1.gene3.p01	AAC(6')-Ib'	ARO:3002548
AF427127.1.gene1.p01	TEM-81	ARO:3000948
AF467947.1.gene1.p1	SHV-36	ARO:3001094
AF468003.1.gene1.p1	TEM-111	ARO:3000974
AF357597.1.gene1.p01	CMY-10	ARO:3002021
AF371964.1.gene1.p1	OXA-118	ARO:3001768
AF409092.1.gene1.p01	CARB-7	ARO:3002246
AF427128.1.gene1.p01	TEM-82	ARO:3000949
AF427130.1.gene1.p01	TEM-84	ARO:3000951
AF467948.1.gene1.p1	SHV-37	ARO:3001095
AF427129.1.gene1.p01	TEM-83	ARO:3000950
AF315351.1.gene2.p01	OXA-32	ARO:3001426
AF488377.1.gene1.p1	CTX-M-23	ARO:3001885
AF318077.1.gene2.p01	IMP-7	ARO:3002198
AF371964.1.gene2.p1	AAC(6')-Ib'	ARO:3002548
AF495873.1.gene1.p1	TEM-101	ARO:3000964
AF506748.1.gene1.p1	TEM-108	ARO:3000971
AF535127.1.gene1.p01	TEM-115	ARO:3000978
AF547625.1.gene1.p1	SHV-45	ARO:3001103
AJ132105.1.gene1.p01	OXA-23	ARO:3001418
AF516720.1.gene1.p1	TEM-105	ARO:3000968
AJ133121.1.gene1.p01	ACC-1	ARO:3001815
AF535128.1.gene1.p01	SHV-40	ARO:3001098
AF535129.1.gene1.p01	SHV-41	ARO:3001099
AF535130.1.gene1.p01	SHV-42	ARO:3001100
AJ011291.1.gene1.p01	CMY-7	ARO:3002018
AJ011293.1.gene1.p01	CMY-6	ARO:3002017
AF317511.1.gene2.p01	VIM-1	ARO:3002271
AF509241.1.gene1.p01	OXA-24	ARO:3001419
AF322577.2.gene3.p01	AAC(6')-Ib'	ARO:3002548
AF516719.1.gene1.p1	TEM-104	ARO:3000967
AJ239002.1.gene1.p01	TEM-68	ARO:3000935
AJ005044.1.gene1.p01	CTX-M-6	ARO:3001869
AJ239129.2.gene1.p01	OXA-24	ARO:3001419
AF317511.1.gene5.p01	OXA-46	ARO:3001797
AF317511.1.gene4.p01	AAC(6')-Ib'	ARO:3002548
AF518567.2.gene4.p01	CTX-M-25	ARO:3001887
AJ277414.1.gene1.p01	TEM-85	ARO:3000952
AJ277535.1.gene1.p01	FOX-4	ARO:3002158
AJ309734.2.gene1.p01	OXA-51	ARO:3001612
AJ318093.1.gene1.p01	TEM-93	ARO:3000960
AJ488302.1.gene1.p01	OXA-42	ARO:3001769
AJ488303.1.gene1.p01	OXA-43	ARO:3001770
AJ276453.1.gene4.p01	MOX-2	ARO:3002183
AJ277415.1.gene1.p01	TEM-86	ARO:3000953
AJ416344.1.gene1.p01	CTX-M-20	ARO:3001882
AF322577.2.gene2.p01	IMP-8	ARO:3002199
AF322577.2.gene2.p01	IMP-47	ARO:3002238
AJ318094.1.gene1.p01	TEM-94	ARO:3000961
AJ555823.2.gene1.p01	CMY-15	ARO:3002026
AJ308558.1.gene1.p01	TEM-95	ARO:3000962
AJ400619.1.gene1.p01	OXA-29	ARO:3001424
AJ549244.1.gene1.p01	CTX-M-28	ARO:3001890
AJ420864.1.gene1.p01	IMP-12	ARO:3002203
AJ632249.1.gene1.p01	OXA-59	ARO:3001772
AJ746225.1.gene1.p01	TEM-129	ARO:3000993
AF525303.2.gene5.p01	OXA-60	ARO:3001808
AJ437107.1.gene1.p01	TEM-30	ARO:3000900
AJ555825.2.gene1.p01	CMY-14	ARO:3002025
AJ631966.1.gene1.p01	OXA-57	ARO:3001771
AJ854182.1.gene1.p01	OXA-74	ARO:3001798
AJ704396.1.gene1.p01	CTX-M-96	ARO:3001956
AJ703795.1.gene1.p01	FOX-7	ARO:3002160
AJ781421.1.gene1.p01	CMY-16	ARO:3002027
AJ866988.1.gene1.p01	TEM-130	ARO:3000994
AJ920369.1.gene1.p01	SHV-12	ARO:3001071
AJ567481.1.gene1.p01	CTX-M-31	ARO:3001893
AJ536835.1.gene1.p01	VIM-7	ARO:3002277
AM049399.1.gene1.p01	TEM-144	ARO:3001007
AM076977.1.gene1.p01	ACT-2	ARO:3001822
AM183304.1.gene1.p01	TEM-150	ARO:3001017
AM286274.1.gene1.p01	TEM-137	ARO:3001001
AM087454.1.gene1.p01	TEM-148	ARO:3001015
AM941159.1.gene1.p01	TEM-156	ARO:3001022
AM087455.2.gene1.p01	IND-6	ARO:3002262
AM411407.1.gene1.p01	CTX-M-60	ARO:3001921
AM778091.1.gene1.p01	VIM-18	ARO:3002288
AM849805.1.gene1.p01	TEM-15	ARO:3000886
AJ550807.1.gene4.p01	IMP-13	ARO:3002204
AM279652.1.gene1.p01	OXA-98	ARO:3001646
AM412777.1.gene1.p01	OXA-101	ARO:3001439
AM931008.1.gene1.p01	CMY-38	ARO:3002049
AY008291.1.gene1.p1	OXA-33	ARO:3001427
AM231719.1.gene1.p01	OXA-90	ARO:3001650
AM412777.1.gene2.p01	AAC(6')-Ib4	ARO:3002577
AM982521.1.gene2.p01	CTX-M-77	ARO:3001938
AM982522.2.gene1.p01	CTX-M-78	ARO:3001939
AY034847.1.gene1.p01	KPC-2	ARO:3002312
AY034848.1.gene1.p01	FOX-5	ARO:3002159
AY092401.1.gene1.p1	TEM-96	ARO:3000963
AM991978.1.gene1.p01	OXA-139	ARO:3001451
AY072920.1.gene1.p1	TEM-110	ARO:3000973
AY005110.1.gene1.p1	CTX-M-11	ARO:3001874
AY007369.1.gene1.p1	FOX-5	ARO:3002159
AY007784.1.gene2.p01	AAC(6')-Ib3	ARO:3002576
AY027590.1.gene1.p1	TEM-88	ARO:3000955
AY027870.1.gene1.p01	VEB-2	ARO:3002371
AY080894.1.gene1.p01	CTX-M-22	ARO:3001884
AY029068.1.gene1.p1	CTX-M-16	ARO:3001879
AY039040.1.gene1.p01	TEM-89	ARO:3000956
AY079099.1.gene1.p01	SHV-38	ARO:3001096
NC_011035.1.6448945.p01	elongation factor G	ARO:3000730
AY150585.1.gene1.p1	SHV-39	ARO:3001097
AY033653.3.gene6.p01	IMP-9	ARO:3002200
AY007784.1.gene3.p01	OXA-37	ARO:3001431
AY101764.1.gene1.p01	TEM-107	ARO:3000970
AY130284.1.gene1.p1	TEM-75	ARO:3000941
AY135661.1.gene1.p01	VIM-4	ARO:3002274
AY156923.1.gene1.p01	CTX-M-27	ARO:3001889
AY143430.1.gene1.p01	CTX-M-24	ARO:3001886
AY157676.1.gene1.p01	CTX-M-26	ARO:3001888
AJ584652.2.gene5.p01	AAC(6')-30/AAC(6')-Ib' fusion protein	ARO:3002599
AY130285.1.gene1.p1	TEM-118	ARO:3000981
AY144612.1.gene1.p01	VIM-5	ARO:3002275
AM982520.1.gene5.p01	CTX-M-76	ARO:3001937
AY101578.1.gene1.p01	TEM-106	ARO:3000969
AY130282.1.gene1.p1	TEM-117	ARO:3000980
AY139598.1.gene3.p01	OXA-119	ARO:3001775
AY165025.1.gene1.p01	VIM-6	ARO:3002276
AY238472.1.gene1.p01	CTX-M-33	ARO:3001895
AY263404.1.gene1.p1	SHV-48	ARO:3001105
AY292654.1.gene1.p1	CTX-M-30	ARO:3001892
AY243512.1.gene1.p01	TEM-120	ARO:3000982
AY178993.1.gene1.p01	CARB-8	ARO:3002247
AY227054.1.gene1.p01	OXA-85	ARO:3001780
AY237830.1.gene1.p01	OXA-47	ARO:3001781
AY306130.1.gene1.p01	OXA-50	ARO:3001796
AM932669.1.gene1.p01	dfrA21	ARO:3003017
AY271267.1.gene1.p01	TEM-121	ARO:3000983
AY288915.1.gene1.p01	SHV-50	ARO:3001107
AY307100.1.gene1.p1	TEM-122	ARO:3000984
AY227752.1.gene1.p01	MIR-2	ARO:3002168
AY267213.1.gene1.p01	CTX-M-29	ARO:3001891
AY288523.1.gene1.p01	OXA-49	ARO:3001671
AM932669.1.gene2.p01	OXA-129	ARO:3001811
AY033516.1.gene2.p01	CTX-M-17	ARO:3001880
AY236073.2.gene7.p01	OXA-48	ARO:3001782
AY500137.1.gene1.p01	OXA-54	ARO:3001812
